500,0.000706,0.001293,0.000708,0.000709
2000,0.012229,0.011655,0.011481,0.011804
4000,0.052357,0.054217,0.052713,0.051989
6000,0.126162,0.127536,0.126134,0.126045
8000,0.232035,0.233435,0.233307,0.234362
10000,0.374802,0.377323,0.376146,0.375847
